pID,trialNum,walk,respR,respL,path
35,1,1,"['j', 'k']","['s', 'd']",img/target_10.png
35,2,2,"['space', 'j']","['a', 's']",img/target_6.png
35,3,3,"['space', 'k']","['a', 'd']",img/target_7.png
35,4,4,"['space', 'l']","['a', 'f']",img/target_8.png
35,5,5,"['space', 'semicolon']","['a', 'space']",img/target_9.png
35,6,6,"['l', 'semicolon']","['f', 'space']",img/target_15.png
35,7,7,"['k', 'l']","['d', 'f']",img/target_13.png
35,8,8,"['k', 'semicolon']","['d', 'space']",img/target_14.png
35,9,9,"['j', 'semicolon']","['s', 'space']",img/target_12.png
35,10,10,"['j', 'l']","['s', 'f']",img/target_11.png
